               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11238,            0.016199,            0.024209,             0.12296,             0.16388,            0.080939,            0.015524,            0.071288,             0.01309,           0.0097298,           0.0015945,           0.0015945,            0.026681
                   1,            0.082574,            0.015541,              0.0058,             0.59975,             0.36455,             0.10834,            0.034207,            0.065674,           0.0099982,           0.0065355,           0.0031945,           0.0031945,           0.0032807
                   2,            0.071062,            0.014906,           0.0043742,              0.6331,             0.26254,             0.11853,            0.032383,            0.060331,           0.0092716,           0.0044095,           0.0031999,           0.0031999,           0.0031999
                   3,            0.060513,            0.014854,           0.0037293,             0.80337,             0.41806,             0.40467,             0.17284,             0.04788,           0.0090794,           0.0039781,           0.0031995,           0.0031995,           0.0031995
                   4,            0.050769,            0.013024,           0.0027657,             0.92904,             0.40468,             0.52693,             0.22396,            0.039471,           0.0085259,           0.0035383,           0.0031989,           0.0031989,           0.0031989
                   5,            0.043987,            0.011969,           0.0023341,             0.35932,             0.74674,             0.51083,             0.19413,            0.034315,           0.0076375,           0.0026125,            0.003198,            0.003198,            0.003198
                   6,            0.041389,            0.010334,           0.0020363,             0.66805,             0.66009,             0.68455,             0.28858,            0.036383,           0.0068851,           0.0023082,           0.0031969,           0.0031969,           0.0031969
                   7,            0.038832,           0.0098021,           0.0018822,             0.64257,             0.75756,             0.72126,             0.38767,            0.029099,           0.0063612,           0.0023746,           0.0031956,           0.0031956,           0.0031956
                   8,            0.036216,           0.0091325,           0.0017916,             0.73244,             0.81649,             0.74096,             0.42191,            0.028945,           0.0059744,           0.0019552,            0.003194,            0.003194,            0.003194
                   9,             0.03458,           0.0085199,           0.0016169,             0.84496,              0.8313,             0.85187,             0.40387,            0.029094,           0.0056284,           0.0023757,           0.0031922,           0.0031922,           0.0031922
                  10,            0.033882,            0.008212,           0.0016304,              0.9319,             0.64803,             0.73311,             0.42847,            0.028438,           0.0056811,           0.0019504,           0.0031901,           0.0031901,           0.0031901
                  11,            0.032909,           0.0077103,           0.0015814,             0.81724,             0.81298,             0.85376,             0.50664,            0.024461,           0.0056071,           0.0021447,           0.0031878,           0.0031878,           0.0031878
                  12,            0.031626,           0.0078963,           0.0014664,             0.85194,             0.73988,             0.78039,               0.445,            0.027084,           0.0053523,           0.0015283,           0.0031852,           0.0031852,           0.0031852
                  13,            0.029462,           0.0073914,           0.0013382,             0.94432,             0.68619,               0.782,             0.41207,            0.025228,           0.0053531,           0.0016597,           0.0031824,           0.0031824,           0.0031824
                  14,            0.029105,           0.0074875,           0.0013743,             0.83897,             0.81984,             0.85313,             0.49463,            0.024885,           0.0053178,           0.0016974,           0.0031793,           0.0031793,           0.0031793
                  15,            0.027457,            0.007417,           0.0012536,             0.96153,              0.6907,             0.80796,             0.49358,            0.022813,           0.0050988,           0.0018269,            0.003176,            0.003176,            0.003176
                  16,            0.027702,           0.0072245,           0.0012501,             0.85919,             0.86066,             0.86455,             0.48401,            0.022605,           0.0053301,           0.0017982,           0.0031725,           0.0031725,           0.0031725
                  17,            0.027329,           0.0072372,           0.0012191,             0.75697,             0.79776,             0.80365,             0.51358,            0.021714,           0.0050064,           0.0014146,           0.0031687,           0.0031687,           0.0031687
                  18,             0.02625,           0.0070135,           0.0010918,              0.9491,             0.88274,             0.90074,             0.54109,            0.021805,           0.0048356,           0.0011879,           0.0031647,           0.0031647,           0.0031647
                  19,            0.027091,           0.0067497,           0.0011889,             0.96034,             0.87758,              0.9019,             0.53865,            0.020379,           0.0048625,           0.0011709,           0.0031605,           0.0031605,           0.0031605
                  20,             0.02739,           0.0067046,           0.0011631,             0.85924,             0.83005,             0.84477,             0.51175,            0.022106,           0.0048123,           0.0012404,            0.003156,            0.003156,            0.003156
                  21,            0.025223,           0.0068063,           0.0010952,             0.92586,             0.86049,             0.88113,             0.55696,            0.020937,           0.0047438,           0.0011894,           0.0031512,           0.0031512,           0.0031512
                  22,            0.025564,           0.0066916,             0.00106,              0.9629,             0.85686,             0.89443,             0.53212,            0.021166,              0.0048,           0.0011846,           0.0031463,           0.0031463,           0.0031463
                  23,             0.02478,           0.0064229,            0.001046,             0.89944,             0.85815,             0.88604,             0.54867,            0.023395,           0.0048818,            0.001327,           0.0031411,           0.0031411,           0.0031411
                  24,             0.02448,           0.0064776,           0.0010566,             0.83422,             0.83691,             0.86973,             0.56825,            0.020429,           0.0050646,           0.0013067,           0.0031356,           0.0031356,           0.0031356
                  25,            0.023585,           0.0063622,          0.00098602,              0.9222,             0.80797,             0.86689,             0.54517,            0.020109,           0.0048392,           0.0010321,             0.00313,             0.00313,             0.00313
                  26,            0.022753,           0.0064167,          0.00093707,             0.95314,             0.88104,             0.89682,             0.59222,            0.021034,           0.0045373,          0.00085547,            0.003124,            0.003124,            0.003124
