               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088803,            0.010319,            0.023594,          0.00065886,            0.020408,          0.00013675,          3.2814e-05,            0.093702,            0.010174,            0.041953,           0.0015385,           0.0015385,              0.0275
                   1,            0.084738,           0.0085925,            0.012209,                   0,                   0,                   0,                   0,            0.088779,           0.0082687,            0.053946,           0.0031385,           0.0031385,              0.0041
                   2,            0.079485,           0.0075063,           0.0051585,                   0,                   0,                   0,                   0,            0.090583,           0.0075853,             0.10713,           0.0031999,           0.0031999,           0.0031999
                   3,            0.076118,           0.0066684,           0.0023335,                   0,                   0,                   0,                   0,            0.082596,           0.0074313,             0.10864,           0.0031995,           0.0031995,           0.0031995
                   4,            0.064018,           0.0067267,           0.0025267,                   0,                   0,                   0,                   0,            0.082364,            0.006894,             0.10541,           0.0031989,           0.0031989,           0.0031989
                   5,            0.059176,           0.0063506,           0.0020041,                   0,                   0,                   0,                   0,            0.083376,           0.0064729,              0.1134,           0.0031981,           0.0031981,           0.0031981
                   6,            0.062842,           0.0058816,           0.0023467,                   0,                   0,                   0,                   0,             0.08125,           0.0061442,             0.11533,            0.003197,            0.003197,            0.003197
                   7,            0.057213,            0.006013,           0.0014076,                   0,                   0,                   0,                   0,            0.073555,           0.0062837,              0.1138,           0.0031956,           0.0031956,           0.0031956
                   8,            0.055553,            0.006456,           0.0018458,                   0,                   0,                   0,                   0,            0.070702,           0.0066315,              0.1123,           0.0031941,           0.0031941,           0.0031941
                   9,             0.04627,           0.0064708,           0.0016699,                   0,                   0,                   0,                   0,            0.073574,           0.0060315,             0.11624,           0.0031922,           0.0031922,           0.0031922
                  10,            0.053631,           0.0071748,           0.0015912,                   0,                   0,                   0,                   0,            0.072962,           0.0064422,             0.10952,           0.0031902,           0.0031902,           0.0031902
                  11,            0.047703,           0.0065919,           0.0014376,                   0,                   0,                   0,                   0,            0.064753,           0.0071984,             0.10587,           0.0031878,           0.0031878,           0.0031878
                  12,            0.037291,           0.0070474,           0.0011921,                   0,                   0,                   0,                   0,            0.061606,           0.0075027,             0.10619,           0.0031853,           0.0031853,           0.0031853
                  13,            0.049086,            0.007113,           0.0014491,                   0,                   0,                   0,                   0,            0.064178,           0.0074778,             0.10828,           0.0031825,           0.0031825,           0.0031825
                  14,            0.046281,            0.006547,           0.0015372,                   0,                   0,                   0,                   0,            0.066318,           0.0067023,             0.10606,           0.0031794,           0.0031794,           0.0031794
                  15,            0.041515,           0.0072292,           0.0016618,                   0,                   0,                   0,                   0,            0.061378,           0.0073424,             0.10464,           0.0031762,           0.0031762,           0.0031762
                  16,            0.041773,           0.0061724,            0.001486,                   0,                   0,                   0,                   0,            0.063395,           0.0072238,             0.10423,           0.0031726,           0.0031726,           0.0031726
                  17,            0.040859,           0.0062929,           0.0013232,                   0,                   0,                   0,                   0,            0.058404,           0.0070244,             0.10473,           0.0031689,           0.0031689,           0.0031689
                  18,            0.035099,            0.006315,           0.0012056,                   0,                   0,                   0,                   0,            0.055193,           0.0074757,             0.10565,           0.0031649,           0.0031649,           0.0031649
                  19,            0.036804,           0.0062889,           0.0012591,                   0,                   0,                   0,                   0,            0.054141,           0.0079414,             0.11121,           0.0031606,           0.0031606,           0.0031606
                  20,            0.038404,           0.0061229,           0.0013326,                   0,                   0,                   0,                   0,            0.053984,           0.0077904,             0.11673,           0.0031561,           0.0031561,           0.0031561
                  21,             0.03628,           0.0058703,           0.0012577,                   0,                   0,                   0,                   0,            0.058372,           0.0068629,             0.11768,           0.0031514,           0.0031514,           0.0031514
                  22,            0.033578,           0.0059412,           0.0010321,                   0,                   0,                   0,                   0,            0.050519,           0.0077147,             0.11609,           0.0031464,           0.0031464,           0.0031464
                  23,            0.034844,           0.0060755,           0.0010765,                   0,                   0,                   0,                   0,            0.050076,           0.0077032,              0.1176,           0.0031413,           0.0031413,           0.0031413
                  24,            0.034871,           0.0056933,           0.0010809,                   0,                   0,                   0,                   0,            0.046506,           0.0078474,             0.11972,           0.0031358,           0.0031358,           0.0031358
