               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.038658,           0.0044897,          0.00088227,             0.16667,             0.16327,            0.098474,            0.028837,            0.062109,           0.0056066,             0.14617,           0.0030446,           0.0030446,           0.0030446
                  38,             0.04286,           0.0047653,           0.0009887,             0.57576,             0.38776,             0.42471,            0.095472,            0.057607,           0.0060078,             0.14394,           0.0030361,           0.0030361,           0.0030361
                  39,            0.044413,           0.0042134,           0.0011282,             0.41379,              0.2449,             0.27868,            0.046326,            0.056853,           0.0060867,              0.1421,           0.0030272,           0.0030272,           0.0030272
                  40,            0.040597,           0.0042372,           0.0011949,              0.2459,             0.30612,             0.16585,            0.047137,            0.062249,           0.0053928,             0.14195,           0.0030182,           0.0030182,           0.0030182
                  41,            0.032375,           0.0041994,          0.00095997,             0.22727,             0.30612,             0.16081,            0.035728,            0.061706,           0.0054706,             0.14383,            0.003009,            0.003009,            0.003009
                  42,             0.04106,           0.0041211,           0.0012612,             0.29412,             0.40816,             0.26588,            0.075821,            0.052458,           0.0062259,              0.1445,           0.0029995,           0.0029995,           0.0029995
                  43,            0.034952,           0.0042176,           0.0012834,             0.44643,              0.5102,             0.44004,             0.14794,            0.054251,           0.0061227,             0.14403,           0.0029899,           0.0029899,           0.0029899
                  44,            0.028118,           0.0033012,          0.00085746,             0.56522,             0.53061,             0.52171,             0.24328,             0.05959,           0.0058138,              0.1441,             0.00298,             0.00298,             0.00298
                  45,            0.035624,           0.0035559,          0.00088992,             0.23729,             0.28571,             0.17695,            0.043232,            0.067517,           0.0053212,             0.14234,           0.0029699,           0.0029699,           0.0029699
                  46,              0.0337,           0.0040855,          0.00098161,             0.51667,             0.63265,             0.58154,              0.1558,            0.054346,           0.0058982,             0.14213,           0.0029596,           0.0029596,           0.0029596
                  47,            0.034484,           0.0039271,          0.00094677,             0.55932,             0.67347,             0.57719,             0.15395,            0.052377,           0.0056561,             0.14353,           0.0029491,           0.0029491,           0.0029491
                  48,            0.036357,           0.0040925,           0.0010864,             0.55556,             0.61224,             0.57857,             0.16277,            0.058519,           0.0056104,             0.14286,           0.0029384,           0.0029384,           0.0029384
                  49,            0.035811,           0.0040602,           0.0013876,                0.72,             0.73469,             0.72126,             0.29642,            0.057628,           0.0055258,             0.14614,           0.0029276,           0.0029276,           0.0029276
                  50,             0.03432,           0.0037675,           0.0011807,             0.88636,             0.79592,             0.85248,             0.49629,            0.045807,           0.0063833,               0.151,           0.0029165,           0.0029165,           0.0029165
                  51,            0.031473,           0.0036502,           0.0010283,             0.68966,             0.40816,             0.53236,             0.19543,            0.052595,            0.006261,             0.15476,           0.0029052,           0.0029052,           0.0029052
                  52,            0.033217,           0.0033947,          0.00096343,             0.51724,             0.61224,              0.6008,              0.2732,            0.050028,           0.0059768,              0.1539,           0.0028937,           0.0028937,           0.0028937
                  53,            0.033097,           0.0039366,          0.00083965,             0.64912,              0.7551,             0.73841,             0.26476,               0.048,           0.0058794,             0.15791,            0.002882,            0.002882,            0.002882
                  54,            0.033312,           0.0034308,           0.0008105,             0.60377,             0.65306,              0.6257,             0.28425,            0.045713,           0.0061126,             0.16154,           0.0028702,           0.0028702,           0.0028702
                  55,            0.029685,           0.0036441,          0.00079948,             0.92097,             0.71351,             0.81784,              0.2898,            0.055544,           0.0051753,             0.15838,           0.0028581,           0.0028581,           0.0028581
                  56,            0.033192,           0.0034832,           0.0008556,              0.7551,              0.7551,             0.79847,             0.25053,            0.056721,           0.0050798,             0.15822,           0.0028459,           0.0028459,           0.0028459
                  57,            0.025775,            0.003916,          0.00073265,             0.84783,             0.79592,             0.85668,             0.50261,            0.045872,           0.0057393,             0.15862,           0.0028335,           0.0028335,           0.0028335
                  58,            0.038592,            0.003463,          0.00083794,             0.82051,             0.65306,             0.76735,             0.31984,            0.058202,           0.0057119,             0.15566,           0.0028209,           0.0028209,           0.0028209
                  59,            0.035572,           0.0028695,          0.00091967,             0.97122,             0.68891,             0.86163,             0.38048,             0.04851,           0.0054691,              0.1507,           0.0028081,           0.0028081,           0.0028081
                  60,            0.032112,           0.0033365,           0.0010796,             0.96999,             0.65983,               0.862,             0.31706,            0.048234,           0.0052616,             0.14694,           0.0027952,           0.0027952,           0.0027952
                  61,            0.034958,           0.0036867,           0.0012331,              0.8258,             0.59184,             0.71799,             0.18118,            0.051609,           0.0051764,             0.14411,            0.002782,            0.002782,            0.002782
                  62,            0.031949,           0.0036059,           0.0011535,             0.58491,             0.63265,             0.66367,              0.1561,            0.053801,           0.0053716,             0.14575,           0.0027687,           0.0027687,           0.0027687
                  63,            0.030099,           0.0030003,           0.0010511,             0.86047,              0.7551,             0.83866,             0.42715,            0.044103,           0.0059373,             0.15108,           0.0027553,           0.0027553,           0.0027553
                  64,            0.032434,           0.0031915,          0.00088003,             0.94822,              0.7476,             0.86855,             0.44318,            0.040763,           0.0055249,             0.15331,           0.0027416,           0.0027416,           0.0027416
                  65,            0.031286,           0.0029937,          0.00073616,             0.88372,             0.77551,             0.86961,             0.52564,            0.051612,           0.0059769,             0.15565,           0.0027278,           0.0027278,           0.0027278
                  66,            0.032911,           0.0032732,          0.00099831,             0.89744,             0.71429,             0.83426,             0.42998,            0.048886,           0.0060531,             0.15699,           0.0027138,           0.0027138,           0.0027138
                  67,            0.029471,           0.0030548,          0.00086064,             0.77778,             0.71429,             0.80886,             0.38318,            0.051177,           0.0059544,               0.157,           0.0026997,           0.0026997,           0.0026997
                  68,            0.027565,           0.0029473,          0.00077957,             0.45833,             0.44898,             0.34349,             0.10544,            0.055532,           0.0054113,             0.15578,           0.0026854,           0.0026854,           0.0026854
                  69,            0.030373,           0.0029676,          0.00082494,             0.69565,             0.65306,             0.68673,             0.17653,            0.052579,           0.0055066,             0.15816,            0.002671,            0.002671,            0.002671
                  70,            0.028069,           0.0030087,          0.00070225,             0.93023,             0.81633,             0.87732,             0.34484,             0.04496,           0.0055143,             0.15746,           0.0026564,           0.0026564,           0.0026564
                  71,            0.031773,           0.0032019,          0.00091106,             0.95238,             0.81633,             0.89155,             0.43596,            0.043978,            0.005486,             0.15967,           0.0026417,           0.0026417,           0.0026417
                  72,            0.027876,           0.0028799,          0.00069227,             0.92683,             0.77551,             0.86992,             0.28499,            0.050631,           0.0052621,             0.16165,           0.0026268,           0.0026268,           0.0026268
                  73,             0.03286,           0.0034909,          0.00083186,             0.95652,             0.44898,             0.70103,             0.46039,            0.049222,           0.0065913,             0.16473,           0.0026117,           0.0026117,           0.0026117
                  74,            0.033074,           0.0027601,          0.00082798,                 0.9,             0.73469,             0.84711,             0.52636,            0.040288,           0.0062971,             0.16511,           0.0025965,           0.0025965,           0.0025965
                  75,            0.027617,            0.002904,          0.00085471,                 0.9,             0.73469,             0.84928,             0.39628,             0.04929,           0.0056175,             0.16445,           0.0025812,           0.0025812,           0.0025812
                  76,            0.032405,           0.0030325,          0.00088043,             0.94998,             0.79592,             0.86945,              0.3713,            0.043621,           0.0051927,             0.16314,           0.0025658,           0.0025658,           0.0025658
                  77,            0.020467,           0.0027631,          0.00048612,             0.81422,             0.71429,             0.74752,              0.2078,            0.052962,            0.004573,             0.16106,           0.0025502,           0.0025502,           0.0025502
                  78,            0.028191,           0.0027933,          0.00063378,             0.64151,             0.69388,             0.62235,              0.2048,            0.046553,           0.0051054,             0.16213,           0.0025344,           0.0025344,           0.0025344
                  79,            0.029403,           0.0029822,          0.00075352,             0.92857,             0.79592,             0.84269,             0.26857,             0.04427,           0.0051385,             0.16447,           0.0025186,           0.0025186,           0.0025186
                  80,            0.028126,           0.0030457,          0.00072894,             0.95022,             0.77923,             0.86552,             0.32645,            0.047291,           0.0049869,              0.1662,           0.0025026,           0.0025026,           0.0025026
                  81,             0.03573,           0.0029444,          0.00093847,             0.95091,             0.79067,             0.86858,             0.54524,            0.033688,           0.0054417,             0.16557,           0.0024865,           0.0024865,           0.0024865
                  82,            0.027409,           0.0029323,           0.0010101,             0.94774,             0.81633,             0.87893,             0.56843,            0.038215,           0.0053139,             0.16365,           0.0024703,           0.0024703,           0.0024703
                  83,            0.028405,           0.0026385,          0.00089835,             0.78431,             0.81633,             0.85945,             0.45151,            0.039562,           0.0052488,             0.16373,           0.0024539,           0.0024539,           0.0024539
                  84,            0.022919,           0.0027882,          0.00071801,             0.80851,             0.77551,             0.84405,             0.48944,            0.041822,           0.0054279,             0.16816,           0.0024375,           0.0024375,           0.0024375
                  85,            0.023375,            0.002527,          0.00066763,              0.9469,             0.72796,             0.86022,             0.42909,            0.046075,           0.0051633,             0.16933,           0.0024209,           0.0024209,           0.0024209
                  86,            0.025741,           0.0028783,          0.00071745,             0.94911,             0.76141,             0.87499,             0.32907,            0.043865,           0.0050459,             0.16926,           0.0024042,           0.0024042,           0.0024042
                  87,            0.025989,           0.0027214,          0.00055989,               0.875,             0.71429,             0.77062,             0.21946,            0.050073,           0.0052674,             0.16822,           0.0023874,           0.0023874,           0.0023874
                  88,            0.028445,           0.0027627,          0.00063236,             0.92683,             0.77551,             0.87792,             0.35841,            0.042997,           0.0057442,             0.16588,           0.0023705,           0.0023705,           0.0023705
                  89,            0.026946,           0.0027819,          0.00083694,             0.94616,             0.71732,             0.86012,             0.39274,            0.042014,           0.0053507,             0.16653,           0.0023535,           0.0023535,           0.0023535
                  90,             0.02451,           0.0027088,          0.00067785,             0.97497,             0.79498,             0.87676,             0.43648,            0.047276,           0.0052118,             0.16425,           0.0023364,           0.0023364,           0.0023364
                  91,            0.024904,           0.0028444,          0.00076628,             0.97005,             0.81633,              0.8793,             0.45251,            0.047259,           0.0050308,             0.16568,           0.0023192,           0.0023192,           0.0023192
                  92,            0.022462,           0.0026905,          0.00056842,             0.94925,             0.76352,             0.83479,             0.33575,            0.056518,           0.0045408,             0.16552,            0.002302,            0.002302,            0.002302
                  93,            0.031071,            0.002658,          0.00087626,             0.84148,             0.73469,             0.74223,             0.24216,            0.052786,           0.0044205,             0.16462,           0.0022846,           0.0022846,           0.0022846
